text,x,y
目覚めた ●,0.04740259740259739,0.9525974025974027
● 驚いた,0.17142857142857118,0.8311688311688314
● 興奮した,0.28896103896103886,0.898051948051948
警戒した ●,-0.4948051948051948,0.8051948051948048
怒った ●,-0.6766233766233765,0.39610389610389607
恐れ ●,-0.6402597402597406,0.6857142857142856
緊張 ●,-0.8805194805194804,0.3454545454545448
心配 ●,-0.9324675324675323,0.19999999999999973
不愉快 ●,-0.6831168831168835,0.0870129870129871
苛立ち ●,-0.6675324675324676,0.0
● 幸福,0.9129870129870131,0.27272727272727226
● 喜び,0.9688311688311686,0.023376623376623606
● 嬉しい,0.7714285714285716,0.131168831168831
● 心地よい,0.8233766233766235,0.47272727272727294
惨め ●,-0.951948051948052,-0.125974025974026
落ち込んだ ●,-0.8259740259740262,-0.21948051948051966
悲しみ ●,-0.6857142857142856,-0.3064935064935063
陰鬱 ●,-0.7961038961038961,-0.4844155844155845
退屈 ●,-0.6441558441558441,-0.6038961038961039
だるい ●,-0.3779220779220782,-0.7363636363636363
疲れた ●,-0.47272727272727244,-0.8233766233766232
● 満足した,0.9363636363636358,-0.17792207792207795
● 満足,0.816883116883117,-0.031168831168831013
● 落ち着いた,0.7454545454545454,-0.5727272727272728
● リラックスした,0.8038961038961039,-0.47792207792207786
● 快適,0.6285714285714288,-0.6623376623376623
● 安堵した,0.5441558441558445,-0.7818181818181817
● 眠気,-0.025974025974026205,-0.9454545454545454
